# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE148256|other_methylation|Homo sapiens|8|GSE148256_RAW.tar(17MB)|development,epigenetics,reproduction,cell_stress|DNA methylome regulation by progesterone receptor in primary leiomyoma cells|Uterine leiomyomas affect reproductive-age women growth requires PGR maintenance proliferation small stem population activation differentiation driven methylation nuclear hormone action crosstalk|
GSE144111|wgbs|Mus musculus|32|GSE144111_RAW.tar(304MB)|development,metabolism,epigenetics,reproduction|Exercise during pregnancy prevents parental obesity-induced decline of metabolic function in adult offspring [Bisulfite-Seq]|maternal paternal health/disease influence early development later homeostasis gestation alone protect adverse effects either high-fat diet HFD understand transcriptomics whole-genome DNA methylation|
GSE180929|methylation_array|Homo sapiens|2|GSE180929_RAW.tar(199MB)|cancer,epigenetics|Genome-wide DNA demethylation of NB-1 (neuroblastoma cell line) after treatment of mock and 5-aza-2'-deoxycytidine (5-aza-dC)|neuroblasoma treated demethylating agents analyzed Infinium HumanMethylation450 BeadChip|
GSE117731|rrbs|Mus musculus|30|GSE117731_RAW.tar(2.0GB)|epigenetics,rna_biology|A novel role for the conserved, orphan deaminase APOBEC2 [methylation]|AID activation induced apolipoprotein mRNA editing catalytic polypeptide-like family proteins zinc-dependent cytidine deaminases active polynucleotides RNA DNA demethylation enzymatic activity|
GSE180474|methylation_array|Homo sapiens|341|GSE180474_MatrixProcessed.csv.gz(2.5GB), GSE180474_MatrixSignalIntensities.csv.gz(1.5GB), GSE180474_RAW.tar(161MB)|metabolism,epigenetics,fibrosis_wound,cell_stress,liver|Differential DNA methylation and changing cell type proportions as fibrotic stage progresses in NAFLD|Genome wide profiling normal liver samples Illumina Infinium MethylationEPIC BeadChip kit obtain profiles across CpGs|
GSE180453|methylation_array|Homo sapiens|8|GSE180453_non-normalized_data.txt.gz(60MB), GSE180453_RAW.tar(1.3GB)|development,epigenetics,cell_stress|Effect of epigenotoxic chemicals on DNA methylation profiles of human induced pluripotent stem cells [methylation]|studied effects exposure global mCherry-methyl-CpG-binding domain MBD nls iPSCs According fluorescent parameters divided 135 categories reduction hypomethylation increase hypermethylation little/no|
GSE180430|other_methylation|Homo sapiens|18|GSE180430_RAW.tar(290MB)|epigenetics,reproduction|Sperm methylome alterations following yoga-based lifestyle intervention in patients of primary male infertility: A pilot study|majority cases idiopathic molecular contributing pathophysiology unknown Effects environment epigenome thereby impacting reproduc-tive health Epigenetic crucial understanding disease now far-reaching|
GSE175699|methylation_array|Homo sapiens|65|GSE175699_beta_values.csv.gz(436MB), GSE175699_detection_p_values.csv.gz(22MB), GSE175699_methylated_signal.csv.gz(419MB), GSE175699_RAW.tar(913MB), GSE175699_unmethylated_signal.csv.gz(407MB)|cancer,immunology,development,epigenetics,cell_cycle|DNA methylation-based prediction of response to immune checkpoint inhibition in metastatic melanoma|novel approach reference-free deconvolution large-scale enabled develop machine learning classifier CpG sites specific Latent Components LMC allowed patient allocation prognostic clusters processed|
GSE171442|wgbs|Mus musculus|5|GSE171442_RAW.tar(873MB)|cancer,immunology|Regnase-1 suppresses TCF-1+ precursor exhausted T cell formation to limit CAR T cell responses against ALL [WGBS]|Defciency enhances CAR-T persistence anti-tumor ability|
GSE141151|wgbs|Mus musculus|10|GSE141151_DKO_Treg.minCov.5.bw.gz(203MB), GSE141151_Group.common.5.annot.cov.gz(1.1GB), GSE141151_RA_VC.minCov.5.bw.gz(201MB), GSE141151_Sample.common.5.annot.cov.gz(459MB), GSE141151_TGF.minCov.5.bw.gz(203MB), GSE141151_WT_naive.minCov.5.bw.gz(194MB), GSE141151_WT_Treg.minCov.5.bw.gz(196MB)|immunology,development,epigenetics,gene_regulation|The role of Vitamin C and TET dioxygenases in genome-wide features of regulatory T cells [WGBS]|enzymes essential stability Tregs maintain immune homeostasis self-tolerance express lineage-determining transcription factor Foxp3 previously acts demethylated status CNS2 key intronic enhancer gene|
GSE130167|wgbs|Oryza sativa|5|GSE130167_RAW.tar(2.4GB)|development,epigenetics,reproduction,plant_biology,gene_regulation,signal_transduction|Reinforcement of DNA methylation in CHH context through RNA-directed DNA methylation ensures sexual reproduction in rice [Bisulfite-seq]|important epigenetic mark regulates expression genes transposons RdDM main molecular pathway responsible novo plants understood Arabidopsis mutations cause visible developmental defects isolated|
GSE164365|rrbs|Homo sapiens|20|GSE164365_RAW.tar(287MB)|cardiovascular,epigenetics|DNA methylation analysis reveals epimutation hotspots in patients with dilated cardiomyopathy-associated laminopathies|Mutations LMNA encoding A/C lead variety diseases include DCM epigenetic thoroughly impact patient-specific unknown explore context unique reduced representation bisulfite sequencing RRBS ten pairs|
GSE117190|other_methylation|Homo sapiens|3|GSE117190_RAW.tar(185MB)|epigenetics,kidney|Genome-wide DNA methylation change due to H19 knockdown and TET3 knockdown in UtLM|Methyl-MiniSeq platform Zymo Research company identify changes affected human Following extensive pattern relative siCon cells genes showing increased others decreased third group|
GSE179903|rrbs|Mus musculus|4|GSE179903_RAW.tar(9MB)|development,epigenetics,kidney,skeletal_muscle|Genes differentially methylated after DNA methyltransferase 1 (DNMT1) knockdown in the presence or absence of early osteoblast (OB)  differentiation [RRBS]|reduced representation bisulfite sequencing analyze methylation profiles regulated C3H10T1/2 MSCs without|
GSE168064|other_methylation|Homo sapiens|5|GSE168064_RAW.tar(1.4GB)|development,epigenetics,aging,gut_intestine,microbiology,gene_regulation|Age-associated cryptic transcription in mammalian stem cells is linked to permissive chromatin at cryptic promoters [CMS-Seq]|Suppressing spurious repressive intragenic state featuring trimethylated lysine histone H3K36me3 DNA methylation critical maintaining self-renewal capacity mouse embryonic yeast nematodes elevated|
GSE168063|wgbs|Homo sapiens|2|GSE168063_RAW.tar(489MB)|development,epigenetics,aging,gut_intestine,microbiology,gene_regulation|Age-associated cryptic transcription in mammalian stem cells is linked to permissive chromatin at cryptic promoters [WGBS]|Suppressing spurious repressive intragenic state featuring trimethylated lysine histone H3K36me3 DNA methylation critical maintaining self-renewal capacity mouse embryonic yeast nematodes elevated|
GSE158598|methylation_array|Homo sapiens|2|GSE158598_RAW.tar(193MB)|cancer,development,epigenetics,cell_stress,rna_biology,gene_regulation,signal_transduction|RNA splicing factors SRRM3 and SRRM4 distinguish molecular phenotypes of castration-resistant neuroendocrine prostate cancer [methylation]|differentiation metastatic mCRPC usually develops cellular plasticity recently characterized two features Androgen receptor positive NE-positive amphicrine AMPC AR-negative small cell SCNPC|
GSE179919|other_methylation|Mus musculus|10|GSE179919_CLIPper_peaks_m6A_eCLIP_1.bed.gz(3MB), GSE179919_CLIPper_peaks_m6A_eCLIP_2.bed.gz(4MB), GSE179919_Pureclip_xl_sites_m6A_eCLIP_1.bed.gz(2MB), GSE179919_Pureclip_xl_sites_m6A_eCLIP_2.bed.gz(3MB), GSE179919_sgRNA_library_counts.txt.gz(279KB)|immunology,development,crispr_gene_editing,rna_biology,gene_regulation,signal_transduction|The RNA m6A binding protein YTHDF2 promotes the B cell to plasma cell transition|relies coordinated remodelling gene expression program CRISPR/Cas9 knockout screen proteins identify post-transcriptional regulation terminal differentiation promoting absence germinal centre|
GSE164657|other_methylation|Mesocricetus auratus|3|GSE164657_RAW.tar(104MB)|development,epigenetics,reproduction,rna_biology,signal_transduction|Golden hamster piRNAs are essential for early development and establishment of spermatogonia [hamster_oocyte.bisulfite_seq]|PIWI-associated support germline suppressing retrotransposons genes mice spermatogenesis oogenesis test applies other mammals deleted Mov10l1 helicase hamsters whose pathway configuration closer male|
GSE162392|rrbs|Homo sapiens|33|GSE162392_RAW.tar(1.8GB)|epigenetics,skeletal_muscle,rna_biology|Genetic and Epigenetic Regulation of Skeletal Muscle Ribosome Biogenesis with Exercise|Ribosomes macromolecular engines protein synthesis Factors mediating facilitate adaptation multi-factorial related ribosomal DNA rDNA dosage and/or modifications investigate possibilities conducted|
GSE133936|other_methylation|Homo sapiens|12|GSE133936_BJAB-Control-1-peaks.xlsx(4MB), GSE133936_BJAB-Control-2-peaks.xlsx(5MB), GSE133936_BJAB-Control-3-peaks.xlsx(4MB), GSE133936_BJAB-EBV-1-peaks.xlsx(5MB), GSE133936_BJAB-EBV-2-peaks.xlsx(5MB), GSE133936_BJAB-EBV-3-peaks.xlsx(3MB)|cancer,immunology,infectious_disease,rna_biology|MeRIP sequencing analysis of BJAB cell line infected with EBV|Purpose Evaluation m6A modification transcripts infection Methods Human lymphoma uninfected hours Total RNA sample extracted Intact mRNA isolated samples chemically fragmented 100-nucleoside-long|
GSE160236|wgbs|Mus musculus|4|GSE160236_DMR_info.tar.gz(204MB), GSE160236_RAW.tar(28.6GB)|development,cardiovascular,epigenetics,skeletal_muscle,crispr_gene_editing|Whole-genome bisulfite sequencing analysis of Pten's function in regulating cardiomyocyte differentiation|report wild-type knockout embryoid bodies cardiomyocytes analyse methylomes difference groups series experiments cardiogenesis|
GSE178219|methylation_array|Homo sapiens|32|GSE178219_processed.txt.gz(75MB), GSE178219_RAW.tar(444MB), GSE178219_signal_intensities.txt.gz(119MB)|cancer,development,epigenetics,microbiology|DNA methylation analysis of oropharyngeal squamous cell carcinoma|Upper aerodigestive tract UADT tumors present different biological behavior prognosis suggesting specific molecular development rarely considered single entities particularly head neck subsites share|
GSE178218|methylation_array|Homo sapiens|31|GSE178218_processed.txt.gz(73MB), GSE178218_RAW.tar(434MB), GSE178218_signal_intensities.txt.gz(116MB)|cancer,development,epigenetics,microbiology|DNA methylation analysis of laryngeal squamous cell carcinoma|Upper aerodigestive tract UADT tumors present different biological behavior prognosis suggesting specific molecular development rarely considered single entities particularly head neck subsites share|
GSE178216|methylation_array|Homo sapiens|22|GSE178216_processed.txt.gz(53MB), GSE178216_RAW.tar(360MB), GSE178216_signal_intensities.txt.gz(80MB)|cancer,development,epigenetics,microbiology|DNA methylation analysis of oral  squamous cell carcinoma|Upper aerodigestive tract UADT tumors present different biological behavior prognosis suggesting specific molecular development rarely considered single entities particularly head neck subsites share|
GSE178212|methylation_array|Homo sapiens|40|GSE178212_processed.txt.gz(81MB), GSE178212_RAW.tar(508MB), GSE178212_signal_intensities.txt.gz(134MB)|cancer,development,epigenetics,microbiology|DNA methylation analysis of esophageal squamous cell carcinoma|Upper aerodigestive tract UADT tumors present different biological behavior prognosis suggesting specific molecular development rarely considered single entities particularly head neck subsites share|
GSE131678|other_methylation|Mus musculus; Homo sapiens|16|GSE131678_RAW.tar(165MB), GSE131678_scPECLR_Final_README.txt(10KB)|development|A probabilistic framework for cellular lineage reconstruction using integrated single-cell 5-hydroxymethylcytosine and genomic DNA sequencing|central understanding tissue development maintenance While powerful tools infer relationships developed methods typically clonal resolution require transgene report scPECLR algorithm endogenously|
GSE163246|other_methylation|Homo sapiens|8|GSE163246_RAW.tar(1.6GB)|immunology,development,cardiovascular,metabolism,epigenetics,skeletal_muscle,microbiology|DNA hydroxymethylation analysis for target regions in human smooth muscle cells.|Macrophage-like derived vascular SMCs play critical atherogenesis TET2-mediated implicated regulate transdifferentiation transcriptomes methylomes coronary artery cholesterol-induced unique approach|
GSE163245|other_methylation|Homo sapiens|9|GSE163245_RAW.tar(2.0GB)|immunology,development,cardiovascular,metabolism,epigenetics,skeletal_muscle,microbiology|DNA methylation analysis for target regions in human smooth muscle cells.|Macrophage-like derived vascular SMCs play critical atherogenesis TET2-mediated hydroxymethylation implicated regulate transdifferentiation transcriptomes hydroxy methylomes coronary artery|
GSE158710|wgbs|Oryza sativa|5|GSE158710_RAW.tar(2.0GB)|development,epigenetics,reproduction,plant_biology,rna_biology,gene_regulation,eye_vision|The effect of RNA polymerase V on 24-nt siRNA accumulation depends on DNA methylation contexts and histone modifications in rice [Bisulfite-Seq]|RNA-directed RdDM novo CHG CHH map-based cloning OsNRPE1 encodes largest subunit key regulator gene silencing reproductive development required loci transcribing long non-coding RNAs influences|
GSE158711|other_methylation|Oryza sativa|8|GSE158711_RAW.tar(2.1GB)|development,epigenetics,reproduction,plant_biology,rna_biology,gene_regulation,eye_vision|The effect of RNA polymerase V on 24-nt siRNA accumulation depends on DNA methylation contexts and histone modifications in rice|RNA-directed RdDM novo CHG CHH map-based cloning OsNRPE1 encodes largest subunit key regulator gene silencing reproductive development required loci transcribing long non-coding RNAs influences|
GSE158981|other_methylation|Mus musculus|20|GSE158981_13month_methPerc.txt.gz(45MB), GSE158981_3month_methPerc.txt.gz(31MB), GSE158981_RAW.tar(177MB)|immunology,neuroscience,epigenetics|Genome-Wide Profiling of DNA Methylation and Gene Expression induced by Alpha-Synuclein in Murine Microglia [methylation]|BACKGROUND Synucleinopathy disorders characterized aggregates engage elicit neuroinflammatory response influence patterns other genes thoroughly explored objective determine changes aggregate METHODS|
GSE176353|other_methylation|Rattus norvegicus|12|GSE176353_RAW.tar(2MB)|immunology,neuroscience,metabolism,epigenetics,rna_biology,signal_transduction,eye_vision|RNA methylation in diabetes [MeRIP-seq]|N6-methyladenosine m6A one most prevalent abundant epigenetic modifications various fundamental bioprocesses hypothesized m6A-mediated inflammation pathway contributes Total extracted retinas wide|
GSE174678|other_methylation|Mus musculus|8|GSE174678_RAW.tar(161MB)|immunology,rna_biology|High-resolution transciptome mapping and N6-methyladenosine modification mapping of RAW264.7 cell lines treated with TCP, TBP or TIP.|Purpose Detect transcriptome-wide m6A modifications MeRIP-seq normal chemical-treated cells Methods Total RNA extracted TRIzol Reagent followed chemical fragmentation fragmented incubated anti-m6A|
